id,teacher,model,input_tokens,output_tokens,hit_token_cap,error,generation_time_s,timestamp
30,gpt4,gpt-5.4,320,370,False,,4.96,2026-05-19T15:09:10.039769+00:00
30,oss,api-gpt-oss-120b,381,943,False,,5.2,2026-05-19T15:09:10.144959+00:00
31,sonnet,claude-sonnet-4-6,289,47,False,,1.89,2026-05-19T15:09:12.437966+00:00
31,gpt4,gpt-5.4,256,67,False,,1.7,2026-05-19T15:09:12.338776+00:00
31,oss,api-gpt-oss-120b,317,132,False,,0.76,2026-05-19T15:09:12.343795+00:00
32,sonnet,claude-sonnet-4-6,285,198,False,,3.29,2026-05-19T15:09:23.445316+00:00
32,gpt4,gpt-5.4,254,212,False,,10.89,2026-05-19T15:09:23.437672+00:00
32,oss,api-gpt-oss-120b,315,275,False,,1.53,2026-05-19T15:09:23.441638+00:00
33,sonnet,claude-sonnet-4-6,324,1340,False,,22.89,2026-05-19T15:09:46.436292+00:00
33,gpt4,gpt-5.4,297,551,False,,9.1,2026-05-19T15:09:46.339530+00:00
33,oss,api-gpt-oss-120b,358,2948,False,,16.2,2026-05-19T15:09:46.343369+00:00
34,sonnet,claude-sonnet-4-6,374,539,False,,9.19,2026-05-19T15:09:55.646558+00:00
34,gpt4,gpt-5.4,336,280,False,,3.89,2026-05-19T15:09:55.638606+00:00
34,oss,api-gpt-oss-120b,397,723,False,,4.1,2026-05-19T15:09:55.642191+00:00
35,sonnet,claude-sonnet-4-6,321,259,False,,5.6,2026-05-19T15:10:01.446764+00:00
35,gpt4,gpt-5.4,293,165,False,,3.1,2026-05-19T15:10:01.341294+00:00
35,oss,api-gpt-oss-120b,354,527,False,,3.09,2026-05-19T15:10:01.350922+00:00
36,sonnet,claude-sonnet-4-6,217,70,False,,2.16,2026-05-19T15:10:03.945567+00:00
36,gpt4,gpt-5.4,192,132,False,,2.2,2026-05-19T15:10:03.840239+00:00
36,oss,api-gpt-oss-120b,253,241,False,,1.4,2026-05-19T15:10:03.936837+00:00
37,sonnet,claude-sonnet-4-6,394,949,False,,10.8,2026-05-19T15:10:14.944094+00:00
37,gpt4,gpt-5.4,353,510,False,,7.4,2026-05-19T15:10:14.938372+00:00
37,oss,api-gpt-oss-120b,414,1135,False,,6.4,2026-05-19T15:10:14.941346+00:00
38,sonnet,claude-sonnet-4-6,430,739,False,,9.82,2026-05-18T21:44:57.737176+00:00
38,gpt4,gpt-5.4,369,716,False,,8.3,2026-05-18T21:44:57.541354+00:00
38,oss,api-gpt-oss-120b,430,1489,False,,9.0,2026-05-18T21:44:57.644031+00:00
39,sonnet,claude-sonnet-4-6,237,24,False,,1.9,2026-05-19T15:10:16.948479+00:00
39,gpt4,gpt-5.4,215,63,False,,1.8,2026-05-19T15:10:16.941492+00:00
39,oss,api-gpt-oss-120b,276,192,False,,1.09,2026-05-19T15:10:16.944975+00:00
40,sonnet,claude-sonnet-4-6,257,27,False,,1.7,2026-05-19T15:10:18.837530+00:00
40,gpt4,gpt-5.4,232,75,False,,1.7,2026-05-19T15:10:18.739843+00:00
40,oss,api-gpt-oss-120b,293,145,False,,0.9,2026-05-19T15:10:18.743874+00:00
41,sonnet,claude-sonnet-4-6,276,1165,False,,19.8,2026-05-19T15:10:49.042008+00:00
41,gpt4,gpt-5.4,252,808,False,,11.8,2026-05-19T15:10:48.940130+00:00
41,oss,api-gpt-oss-120b,313,5102,False,,29.99,2026-05-19T15:10:48.946959+00:00
42,sonnet,claude-sonnet-4-6,428,158,False,,3.29,2026-05-19T15:10:52.447298+00:00
42,gpt4,gpt-5.4,383,202,False,,3.29,2026-05-19T15:10:52.440338+00:00
42,oss,api-gpt-oss-120b,444,157,False,,0.99,2026-05-19T15:10:52.443722+00:00
43,sonnet,claude-sonnet-4-6,302,483,False,,5.71,2026-05-19T15:10:58.350369+00:00
43,gpt4,gpt-5.4,268,311,False,,3.83,2026-05-19T15:10:58.338905+00:00
43,oss,api-gpt-oss-120b,329,697,False,,3.89,2026-05-19T15:10:58.345155+00:00
44,sonnet,claude-sonnet-4-6,491,455,False,,6.59,2026-05-19T15:11:05.141115+00:00
44,gpt4,gpt-5.4,445,309,False,,5.29,2026-05-19T15:11:05.038897+00:00
44,oss,api-gpt-oss-120b,506,601,False,,3.39,2026-05-19T15:11:05.137680+00:00
45,sonnet,claude-sonnet-4-6,621,1105,False,,13.29,2026-05-19T15:11:18.445656+00:00
45,gpt4,gpt-5.4,585,282,False,,4.1,2026-05-19T15:11:18.438968+00:00
45,oss,api-gpt-oss-120b,646,1575,False,,8.6,2026-05-19T15:11:18.442185+00:00
46,sonnet,claude-sonnet-4-6,530,704,False,,9.7,2026-05-19T15:11:28.537942+00:00
46,gpt4,gpt-5.4,463,402,False,,5.5,2026-05-19T15:11:28.242752+00:00
46,oss,api-gpt-oss-120b,524,659,False,,3.69,2026-05-19T15:11:28.347117+00:00
47,sonnet,claude-sonnet-4-6,301,295,False,,4.39,2026-05-19T15:11:36.136430+00:00
47,gpt4,gpt-5.4,278,520,False,,6.39,2026-05-19T15:11:36.038940+00:00
47,oss,api-gpt-oss-120b,339,1306,False,,7.49,2026-05-19T15:11:36.042634+00:00
48,sonnet,claude-sonnet-4-6,299,56,False,,2.7,2026-05-19T15:11:38.944699+00:00
48,gpt4,gpt-5.4,261,136,False,,2.29,2026-05-19T15:11:38.936849+00:00
48,oss,api-gpt-oss-120b,322,245,False,,1.4,2026-05-19T15:11:38.940776+00:00
49,sonnet,claude-sonnet-4-6,279,438,False,,6.11,2026-05-18T21:47:41.597823+00:00
49,gpt4,gpt-5.4,251,495,False,,7.25,2026-05-18T21:47:41.571830+00:00
49,oss,api-gpt-oss-120b,312,1205,False,,6.59,2026-05-18T21:47:41.584225+00:00
50,sonnet,claude-sonnet-4-6,329,150,False,,3.21,2026-05-19T15:11:46.146184+00:00
50,gpt4,gpt-5.4,292,132,False,,2.7,2026-05-19T15:11:46.138890+00:00
50,oss,api-gpt-oss-120b,353,1041,False,,7.0,2026-05-19T15:11:46.142616+00:00
51,sonnet,claude-sonnet-4-6,547,382,False,,5.39,2026-05-19T15:11:52.838261+00:00
51,gpt4,gpt-5.4,445,387,False,,6.49,2026-05-19T15:11:52.741265+00:00
51,oss,api-gpt-oss-120b,506,1089,False,,6.29,2026-05-19T15:11:52.755412+00:00
52,sonnet,claude-sonnet-4-6,286,84,False,,3.79,2026-05-18T21:49:35.035491+00:00
52,gpt4,gpt-5.4,260,110,False,,1.63,2026-05-18T21:49:35.011283+00:00
52,oss,api-gpt-oss-120b,321,321,False,,1.98,2026-05-18T21:49:35.021933+00:00
53,sonnet,claude-sonnet-4-6,347,685,False,,9.0,2026-05-18T21:46:57.731268+00:00
53,gpt4,gpt-5.4,318,535,False,,6.4,2026-05-18T21:46:57.718572+00:00
53,oss,api-gpt-oss-120b,379,1546,False,,10.67,2026-05-18T21:46:57.724882+00:00
54,sonnet,claude-sonnet-4-6,286,1140,False,,24.0,2026-05-19T15:12:47.941308+00:00
54,gpt4,gpt-5.4,262,891,False,,13.0,2026-05-19T15:12:47.835891+00:00
54,oss,api-gpt-oss-120b,323,8799,False,,54.8,2026-05-19T15:12:47.937471+00:00
55,sonnet,claude-sonnet-4-6,226,58,False,,2.0,2026-05-19T15:12:50.537268+00:00
55,gpt4,gpt-5.4,203,131,False,,2.4,2026-05-19T15:12:50.441158+00:00
55,oss,api-gpt-oss-120b,264,190,False,,1.2,2026-05-19T15:12:50.453894+00:00
56,sonnet,claude-sonnet-4-6,655,109,False,,3.59,2026-05-19T15:12:54.546801+00:00
56,gpt4,gpt-5.4,607,125,False,,1.97,2026-05-19T15:12:54.148116+00:00
56,oss,api-gpt-oss-120b,668,218,False,,1.3,2026-05-19T15:12:54.345258+00:00
57,sonnet,claude-sonnet-4-6,244,229,False,,3.5,2026-05-19T15:12:58.838162+00:00
57,gpt4,gpt-5.4,220,237,False,,3.7,2026-05-19T15:12:58.740765+00:00
57,oss,api-gpt-oss-120b,281,675,False,,3.7,2026-05-19T15:12:58.744740+00:00
58,sonnet,claude-sonnet-4-6,367,1290,False,,18.0,2026-05-19T15:13:34.538615+00:00
58,gpt4,gpt-5.4,316,1898,False,,26.3,2026-05-19T15:13:34.439079+00:00
58,oss,api-gpt-oss-120b,377,6424,False,,35.49,2026-05-19T15:13:34.444244+00:00
59,sonnet,claude-sonnet-4-6,233,39,False,,2.59,2026-05-19T15:13:37.338478+00:00
59,gpt4,gpt-5.4,210,61,False,,1.72,2026-05-19T15:13:37.141643+00:00
59,oss,api-gpt-oss-120b,271,253,False,,1.42,2026-05-19T15:13:37.241620+00:00
60,sonnet,claude-sonnet-4-6,353,85,False,,3.01,2026-05-19T15:13:40.744614+00:00
60,gpt4,gpt-5.4,327,110,False,,2.3,2026-05-19T15:13:40.540864+00:00
60,oss,api-gpt-oss-120b,388,198,False,,1.13,2026-05-19T15:13:40.640251+00:00
61,sonnet,claude-sonnet-4-6,407,371,False,,5.54,2026-05-19T15:13:46.449169+00:00
61,gpt4,gpt-5.4,352,308,False,,4.0,2026-05-19T15:13:46.438688+00:00
61,oss,api-gpt-oss-120b,413,733,False,,4.0,2026-05-19T15:13:46.444588+00:00
62,sonnet,claude-sonnet-4-6,302,168,False,,3.0,2026-05-19T15:13:49.638340+00:00
62,gpt4,gpt-5.4,266,150,False,,2.78,2026-05-19T15:13:49.539614+00:00
62,oss,api-gpt-oss-120b,327,167,False,,1.06,2026-05-19T15:13:49.544637+00:00
63,sonnet,claude-sonnet-4-6,328,878,False,,9.6,2026-05-19T15:13:59.346807+00:00
63,gpt4,gpt-5.4,286,452,False,,5.9,2026-05-19T15:13:59.339004+00:00
63,oss,api-gpt-oss-120b,347,1501,False,,8.25,2026-05-19T15:13:59.342841+00:00
64,sonnet,claude-sonnet-4-6,276,323,False,,5.59,2026-05-19T15:14:05.645532+00:00
64,gpt4,gpt-5.4,248,266,False,,3.5,2026-05-19T15:14:05.638745+00:00
64,oss,api-gpt-oss-120b,309,874,False,,6.2,2026-05-19T15:14:05.642106+00:00
65,sonnet,claude-sonnet-4-6,295,105,False,,2.6,2026-05-19T15:14:08.437900+00:00
65,gpt4,gpt-5.4,258,126,False,,1.79,2026-05-19T15:14:08.352544+00:00
65,oss,api-gpt-oss-120b,319,161,False,,1.08,2026-05-19T15:14:08.356014+00:00
66,sonnet,claude-sonnet-4-6,260,624,False,,8.59,2026-05-19T15:14:28.737710+00:00
66,gpt4,gpt-5.4,235,431,False,,5.49,2026-05-19T15:14:28.636979+00:00
66,oss,api-gpt-oss-120b,296,3610,False,,20.1,2026-05-19T15:14:28.644451+00:00
67,sonnet,claude-sonnet-4-6,381,328,False,,5.5,2026-05-19T15:14:34.848429+00:00
67,gpt4,gpt-5.4,342,243,False,,3.64,2026-05-19T15:14:34.839871+00:00
67,oss,api-gpt-oss-120b,403,993,False,,5.99,2026-05-19T15:14:34.844199+00:00
68,sonnet,claude-sonnet-4-6,564,1035,False,,13.88,2026-05-19T15:14:48.746163+00:00
68,gpt4,gpt-5.4,479,635,False,,7.48,2026-05-19T15:14:48.739060+00:00
68,oss,api-gpt-oss-120b,540,2159,False,,12.08,2026-05-19T15:14:48.742720+00:00
69,sonnet,claude-sonnet-4-6,406,892,False,,9.2,2026-05-18T21:46:46.959655+00:00
69,gpt4,gpt-5.4,346,1015,False,,13.1,2026-05-18T21:46:46.950428+00:00
69,oss,api-gpt-oss-120b,407,1245,False,,7.2,2026-05-18T21:46:46.954538+00:00
70,sonnet,claude-sonnet-4-6,279,45,False,,1.88,2026-05-19T15:14:50.727747+00:00
70,gpt4,gpt-5.4,256,110,False,,1.7,2026-05-19T15:14:50.719565+00:00
70,oss,api-gpt-oss-120b,317,186,False,,1.1,2026-05-19T15:14:50.723407+00:00
71,sonnet,claude-sonnet-4-6,414,129,False,,3.14,2026-05-19T15:14:54.038957+00:00
71,gpt4,gpt-5.4,373,144,False,,2.24,2026-05-19T15:14:53.937423+00:00
71,oss,api-gpt-oss-120b,434,181,False,,1.02,2026-05-19T15:14:53.940859+00:00
72,sonnet,claude-sonnet-4-6,354,611,False,,7.9,2026-05-19T15:15:02.049079+00:00
72,gpt4,gpt-5.4,304,380,False,,5.19,2026-05-19T15:15:02.038604+00:00
72,oss,api-gpt-oss-120b,365,1283,False,,7.0,2026-05-19T15:15:02.043531+00:00
73,sonnet,claude-sonnet-4-6,1132,970,False,,11.9,2026-05-19T15:15:18.944946+00:00
73,gpt4,gpt-5.4,927,565,False,,6.0,2026-05-19T15:15:18.938203+00:00
73,oss,api-gpt-oss-120b,988,3048,False,,16.76,2026-05-19T15:15:18.941417+00:00
74,sonnet,claude-sonnet-4-6,453,1224,False,,16.1,2026-05-19T20:22:51.255659+00:00
74,gpt4,gpt-5.4,371,401,False,,10.61,2026-05-19T20:22:51.041933+00:00
74,oss,api-gpt-oss-120b,432,1959,False,,19.4,2026-05-19T20:22:51.138550+00:00
75,sonnet,claude-sonnet-4-6,340,154,False,,3.4,2026-05-19T15:15:39.642249+00:00
75,gpt4,gpt-5.4,314,205,False,,3.4,2026-05-19T15:15:39.543099+00:00
75,oss,api-gpt-oss-120b,375,432,False,,2.8,2026-05-19T15:15:39.553886+00:00
76,sonnet,claude-sonnet-4-6,305,189,False,,3.3,2026-05-19T15:15:44.747548+00:00
76,gpt4,gpt-5.4,272,158,False,,4.93,2026-05-19T15:15:44.738327+00:00
76,oss,api-gpt-oss-120b,333,423,False,,2.4,2026-05-19T15:15:44.742489+00:00
77,sonnet,claude-sonnet-4-6,492,199,False,,5.5,2026-05-19T15:15:53.043325+00:00
77,gpt4,gpt-5.4,443,160,False,,8.1,2026-05-19T15:15:52.988877+00:00
77,oss,api-gpt-oss-120b,504,396,False,,2.2,2026-05-19T15:15:53.039564+00:00
78,sonnet,claude-sonnet-4-6,293,660,False,,10.38,2026-05-19T15:16:03.846928+00:00
78,gpt4,gpt-5.4,265,509,False,,6.3,2026-05-19T15:16:03.638301+00:00
78,oss,api-gpt-oss-120b,326,966,False,,5.4,2026-05-19T15:16:03.740744+00:00
79,sonnet,claude-sonnet-4-6,219,41,False,,2.0,2026-05-19T15:16:06.047259+00:00
79,gpt4,gpt-5.4,196,86,False,,1.49,2026-05-19T15:16:06.038409+00:00
79,oss,api-gpt-oss-120b,257,210,False,,1.3,2026-05-19T15:16:06.042711+00:00
80,sonnet,claude-sonnet-4-6,371,156,False,,2.9,2026-05-19T15:16:09.748963+00:00
80,gpt4,gpt-5.4,326,264,False,,3.54,2026-05-19T15:16:09.739830+00:00
80,oss,api-gpt-oss-120b,387,453,False,,2.51,2026-05-19T15:16:09.744511+00:00
81,sonnet,claude-sonnet-4-6,313,103,False,,2.5,2026-05-19T15:16:12.837146+00:00
81,gpt4,gpt-5.4,273,163,False,,2.83,2026-05-19T15:16:12.738185+00:00
81,oss,api-gpt-oss-120b,334,428,False,,2.4,2026-05-19T15:16:12.743414+00:00
82,sonnet,claude-sonnet-4-6,528,444,False,,6.39,2026-05-19T15:16:21.552433+00:00
82,gpt4,gpt-5.4,465,427,False,,4.99,2026-05-19T15:16:21.441430+00:00
82,oss,api-gpt-oss-120b,526,1574,False,,8.59,2026-05-19T15:16:21.543088+00:00
83,sonnet,claude-sonnet-4-6,387,1062,False,,17.69,2026-05-19T15:16:39.746492+00:00
83,gpt4,gpt-5.4,349,1157,False,,14.99,2026-05-19T15:16:39.738918+00:00
83,oss,api-gpt-oss-120b,410,3291,False,,18.0,2026-05-19T15:16:39.742712+00:00
84,sonnet,claude-sonnet-4-6,275,45,False,,1.9,2026-05-19T15:16:41.939313+00:00
84,gpt4,gpt-5.4,241,61,False,,1.2,2026-05-19T15:16:41.838859+00:00
